"file_ref"	"name"	"addr1"	"addr2"	"addr3"	"addr4"	"addr5"	"c_o"	
"4/6816/56(26)"	"Kin Sing Air-condition Engineering Co."	"Stage 3, 6th Floor, Flat K,"	"Golden Dragon Industrial Building,"	"Tai Lin Pai Road,"	"Kwai Chung, New Territories."	""	""	
"4/6816/56(28)"	"Hop Tak Air-conditioning Co."	"Block C2, 8th Floor,"	"30 Kam Ping Street,"	"North Point,"	"Hong Kong."	""	""	
"4/6816/56(32)"	"Wing On Air-conditioning Co."	"Rooms 228-229, Block 1, 2nd Floor,"	"Yip On Industrial Building,"	"Wai Yip Street,"	"Kowloon Bay, Kowloon."	""	""	
"4/6816/56(33)"	"Yau Shun Engineering Co."	"Ground Floor,"	"28a Chi Kiang Street,"	"To Kwa Wan,"	"Kowloon."	""	""	
"4/6816/56(36)"	"Wealand Engineering Co."	"Room 10, 1st Floor,"	"Kwai Cheong Building,"	"213a Sai Yeung Choi Street North,"	"Mong Kok, Kowloon."	""	""	
"4/6816/56(37)"	"Vinner Air-conditioning & Refrigeration Engineering Co."	"16th Floor,"	"Shanghai Centre,"	"473-475 Shanghai Street,"	"Kowloon."	""	""	
"4/6816/56(40)"	"Chew Sun Refrigeration Engineering Co."	"Ground Floor,"	"18 Tsing Fung Street,"	"North Point,"	"Hong Kong."	""	""	
"4/6816/56(41)"	"Kei Wai Engineering Co., Ltd."	"2nd Floor,"	"70 Tai Nam Street,"	"Sham Shui Po,"	"Kowloon."	""	""	
"4/6816/56(45)"	"Pioneer Engineering Co."	"7th Floor,"	"8a Pak Kung Street,"	"Hung Hom,"	"Kowloon."	""	""	
"4/6816/56(47)"	"Lee Luen Refrigeration Service Co."	"Ground Floor,"	"Man Fai Building,"	"37 Man Yuen Street,"	"Kowloon."	""	""	
"4/6816/56(48)"	"The General Electric Company Of Hong Kong Ltd."	"27th Floor,"	"C.c. Wu Building,"	"302-308 Hennessy Road,"	"Wan Chai, Hong Kong."	""	""	
"4/6816/56(50)"	"Empire Engineering Co., Ltd."	"1st Floor, Block C/4,"	"Hong Kong Industrial Centre,"	"489-491 Castle Peak Road,"	"Cheung Sha Wan, Kowloon."	""	""	
"4/6816/56(51)"	"The Jardine Engineering Corporation Ltd."	"Jardine Engineering House,"	"260 King's Road,"	"North Point,"	"Hong Kong."	""	""	
"4/6816/56(56)"	"San Sang Engineering Co."	"Ground Floor,"	"17 Kam Fong Street,"	"Kowloon."	""	""	""	
"4/6816/56(60)"	"Sun Luen Air Conditioning Co., Ltd."	"Flat B, 7th Floor,"	"Good Year Factory Building,"	"119-121 How Ming Street,"	"Kwun Tong, Kowloon."	""	""	
"4/6816/56(66)"	"Hang Lee Air Condition Co."	"Unit 2, 22nd Floor, Block Front,"	"Wah Fat Industrial Building,"	"10-14 Kung Yip Street,"	"Kwai Chung, New Territories."	""	""	
"4/6816/56(75)"	"Allied Air Engineers Ltd."	"Room 1833,"	"Star House,"	"Kowloon."	""	""	""	
"4/6816/56(78)"	"Cheung's Air-conditioning Engineering Co."	"Sheung Tsuen,"	"25b Kam Tin Road,"	"Pat Heung,"	"Yuen Long, New Territories."	""	""	
"4/6816/56(8)"	"Eurasia Engineering Corporation Ltd."	"Room 901,"	"Hua Hsia Building,"	"64-66 Gloucester Road,"	"Wan Chai, Hong Kong."	""	""	
"4/6816/56(82)"	"Standard Refrigeration & Engineering Co., Ltd."	"12th Floor,"	"Sunbeam Commercial Building,"	"469 Nathan Road,"	"Kowloon."	""	""	
"4/6816/56(92)"	"Wah Tat Air Condition & Refrigeration Service Co."	"Ground Floor,"	"1a-1 Chap Wai Kon Village,"	"Sha Tin,"	"New Territories."	""	""	
"4/6816/56(93)"	"Young's Engineering Co., Ltd."	"1st Floor,"	"Rialto Building,"	"2 Landale Street,"	"Wan Chai, Hong Kong."	""	""	
"4/6816/56(98)"	"Wu's Engineering Co."	"Room 405, Wealth,"	"Commercial Centre,"	"42-56 Kwong Wa Street,"	"Kowloon."	""	""	
"6/6814/56(1000)"	"John Lok & Partners Ltd."	"20th Floor,"	"Sun House,"	"90 Connaught Road Central,"	"Hong Kong."	""	""	
"6/6814/56(1001)"	"Wah On Investment & Construction Co., Ltd."	"Rooms 1706-1709,"	"Star House,"	"3 Salisbury Road,"	"Tsim Sha Tsui, Kowloon."	""	""	
"6/6814/56(1013)"	"Hop Hing Construction Co."	"5th Floor,"	"41-43 Pok Fu Lam Road,"	"Pok Fu Lam,"	"Hong Kong."	""	""	
"6/6814/56(102)"	"Leung Yan Kee Construction Co., Ltd."	"Room 504,"	"Tak Shing House,"	"20 Des Voeux Road Central,"	"Hong Kong."	""	""	
"6/6814/56(1020)"	"Chui Hing Construction Co., Ltd."	"11th Floor,"	"Nanyang Plaza,"	"57 Hung To Road,"	"Kwun Tong, Kowloon."	""	""	
"6/6814/56(1026)"	"Shun Hing Construction Co."	"House No. 5, 2nd Street,"	"Section E,"	"Fairview Park,"	"Yuen Long, New Territories."	""	""	
"6/6814/56(1037)"	"Victory Construction Co."	"Flat B, 21st Floor,"	"Cornwall Court,"	"54 King's Road,"	"Hong Kong."	""	""	
"6/6814/56(104)"	"Tai Shing Construction Co., Ltd."	"Ground Floor,"	"7 Leung I Fong,"	"Sai Ying Pun,"	"Hong Kong."	""	""	
"6/6814/56(1041)"	"Yau Tak Construction Co."	"Ground Floor,"	"13 Kwai Heung Street,"	"Hong Kong."	""	""	""	
"6/6814/56(1045)"	"Hung Hing Building Contractors"	"1102 Sai Wan Ho Plaza,"	"68 Shau Kei Wan Road,"	"Hong Kong."	""	""	""	
"6/6814/56(1053)"	"Livingstone Construction Co."	"Room 511, 5th Floor,"	"Lotus House,"	"So Uk Estate,"	"Sham Shui Po, Kowloon."	""	""	
"6/6814/56(1056)"	"Woo Fung Construction Co., Ltd."	"Flat A1, 9th Floor,"	"6 Carnarvon Road,"	"Kowloon."	""	""	""	
"6/6814/56(1063)"	"Lap Shing Construction & Development Co., Ltd."	"15th Floor,"	"15-18 Connaught Road Central,"	"Central,"	"Hong Kong."	""	""	
"6/6814/56(1073)"	"Ding Hsung Construction Co."	"15th Floor,"	"Hung Hsing Building,"	"484 Nathan Road,"	"Kowloon."	""	""	
"6/6814/56(1077)"	"Chong Tai Construction Co."	"3rd Floor,"	"175 Shatin Pass Road,"	"Kowloon."	""	""	""	
"6/6814/56(1088)"	"Truly Construction Co., Ltd."	"Flat A2, 5th Floor,"	"6 Broadcast Drive,"	"Kowloon."	""	""	""	
"6/6814/56(109)"	"Kwan Lee Construction Co., Ltd."	"Room 910-912, Tower B,"	"New Mandarin Plaza,"	"14 Science Museum Road,"	"Tsim Sha Tsui East, Kowloon."	""	""	
"6/6814/56(1090)"	"Wai Hing Construction Co., Ltd."	"2nd Floor,"	"88 Fa Yuen Street,"	"Mong Kok,"	"Kowloon."	""	""	
"6/6814/56(1092)"	"San Yuen Construction Co."	"17th Floor,"	"Man Cheong Building,"	"25 Man Cheong Street,"	"Kowloon."	""	""	
"6/6814/56(1097)"	"Hua Xing Engineering Co."	"Room 1105,"	"The Chinese Bank Building,"	"61-65 Des Voeux Road Central,"	"Hong Kong."	""	""	
"6/6814/56(1099)"	"Tai Yieh Construction & Engineering Co., Ltd."	"29th Floor,"	"New World Tower,"	"16-18 Queen's Road Central,"	"Hong Kong."	""	""	
"6/6814/56(11)"	"Chim Kee Co., Ltd."	"Ground Floor,"	"438 Nathan Road,"	"Kowloon."	""	""	""	
"6/6814/56(110)"	"Ah Hing Construction Co."	"Flat 7d, Clarke Mansion,"	"9 Kingston Street,"	"Causeway Bay,"	"Hong Kong."	""	""	
"6/6814/56(1104)"	"China Resources Construction Co., Ltd."	"Rooms 1001-1005,"	"China Resources Building,"	"26 Harbour Road,"	"Wan Chai, Hong Kong."	""	""	
"6/6814/56(1109)"	"Raily Construction Co."	"Room 212,"	"Manchester Tower,"	"46 Pak Tin Par Street,"	"Tsuen Wan, New Territories."	""	""	
"6/6814/56(1112)"	"Yuen Fung Building Construction Co."	"4a Po Lo Che,"	"Sai Kung,"	"New Territories."	""	""	""	
"6/6814/56(1119)"	"Choy Kee Construction Co."	"3rd Floor,"	"45 Bute Street,"	"Mong Kok,"	"Kowloon."	""	""	
"6/6814/56(1122)"	"Kam Wing Construction Co."	"7th Floor,"	"424 Portland Street,"	"Mong Kok,"	"Kowloon."	""	""	
"6/6814/56(1127)"	"Sun Fat Lung Land Investment Co., Ltd."	"Ground Floor,"	"29 Pilkem Street,"	"Kowloon."	""	""	""	
"6/6814/56(1130)"	"Hip Hing Construction Co., Ltd."	"29th Floor,"	"New World Tower,"	"16-18 Queen's Road Central,"	"Hong Kong."	""	""	
"6/6814/56(1146)"	"Cheung Fat Construction Co."	"P.o. Box 198,"	"Kam Tin Post Office,"	"New Territories."	""	""	""	
"6/6814/56(1148)"	"Pong Hing Construction Co."	"8th Floor,"	"Taize Mansion,"	"129 Sai Yee Street,"	"Mong Kok, Kowloon."	""	""	
"6/6814/56(1150)"	"Kwong Hop Loong Construction Co."	"52 Larch Street Cockloft,"	"Kowloon."	""	""	""	""	
"6/6814/56(1155)"	"Peter Leung Construction Co."	"Flat 42 C & D, Block 2,"	"Estoril Court,"	"55 Garden Road,"	"Central, Hong Kong."	""	""	
"6/6814/56(1156)"	"Yiu Wing Construction Co."	"Ground Floor,"	"32 Apliu Street,"	"Sham Shui Po,"	"Kowloon."	""	""	
"6/6814/56(1167)"	"Hung Ying Construction Co."	"Flat A, 1st Floor,"	"185-191 Sai Yee Street,"	"Mong Kok,"	"Kowloon."	""	""	
"6/6814/56(1174)"	"Lidell Construction Co., Ltd."	"Suite 901,"	"111 Leighton Road,"	"Causeway Bay,"	"Hong Kong."	""	""	
"6/6814/56(1178)"	"Samake Co."	"9th Floor,"	"Hanway Commercial Centre,"	"36 Dundas Street,"	"Kowloon."	""	""	
"6/6814/56(1188)"	"Kwan Hing Investment Co., Ltd."	"Room 1426,"	"Central Building,"	"23 Queen's Road Central,"	"Hong Kong."	""	""	
"6/6814/56(1191)"	"The Precast Piling And Engineering Co., Ltd."	"Suites 14-15, 14th Floor,"	"Cityplaza One,"	"1111 King's Road,"	"Hong Kong."	""	""	
"6/6814/56(1226)"	"Hon Yee Construction Co."	"70 Main Street,"	"Ap Lei Chau,"	"Hong Kong."	""	""	""	
"6/6814/56(1230)"	"Tak Lee Construction Co."	"Room 401,"	"O.t.b. Building,"	"259-265 Des Voeux Road Central,"	"Hong Kong."	""	""	
"6/6814/56(1261)"	"Flat Hill Quarry & Building Construction Co."	"5 Cambridge Road,"	"Kowloon Tong,"	"Kowloon."	""	""	""	
"6/6814/56(1262)"	"Tung Chun Construction Co."	"6th Floor,"	"Tung Chun Commercial Centre,"	"438-444 Shanghai Street,"	"Kowloon."	""	""	
"6/6814/56(1264)"	"Leung Kam Kee Building Construction Co."	"2nd Floor,"	"194 Prince Edward Road,"	"Mong Kok,"	"Kowloon."	""	""	
"6/6814/56(1267)"	"Howell Construction Co. Design & Decoration"	"Flat F-h, 1st Floor,"	"Cactus Mansion,"	"1-19 Mcgregor Street,"	"Wan Chai, Hong Kong."	""	""	
"6/6814/56(1268)"	"Wing Cheung Building Construction Co."	"9th Floor,"	"92 Connaught Road West,"	"Hong Kong."	""	""	""	
"6/6814/56(127)"	"Chinney Construction Co., Ltd."	"Blocks A & B, 9th Floor,"	"Hk Spinners Industrial Building, Phase"	"Vi,         481-483 Castle Peak Road,"	"Kowloon."	""	""	
"6/6814/56(1270)"	"Ming Fat Construction Co., Ltd."	"Mezzanine Floor,"	"442 Portland Street,"	"Mong Kok,"	"Kowloon."	""	""	
"6/6814/56(1277)"	"Tai Tung Construction Co."	"Room 8, 4th Floor,"	"Welland Building,"	"368 Queen's Road Central,"	"Hong Kong."	""	""	
"6/6814/56(1280)"	"Koon Wah Construction Co."	"Block C,"	"3rd Floor,"	"49 Jordan Road,"	"Kowloon."	""	""	
"6/6814/56(1294)"	"The Boring Engineering Ltd."	"Ground Floor,"	"10 La Salle Road,"	"Kowloon."	""	""	""	
"6/6814/56(1297)"	"Chuang Shing Construction Co."	"5th Floor,"	"159 Wongnaichung Road,"	"Hong Kong."	""	""	""	
"6/6814/56(1301)"	"Lau Keong Construction Co."	"1st Floor, Block G,"	"65 Austin Road,"	"Tsim Sha Tsui,"	"Kowloon."	""	""	
"6/6814/56(1308)"	"Hung Sun Building Contractors"	"Room 1001,"	"Lam's Building,"	"6-10 Kau U Fong,"	"Central, Hong Kong."	""	""	
"6/6814/56(1312)"	"New Territories Construction Co."	"1st Floor,"	"107-109 Sun Fung Avenue,"	"Sheung Shui,"	"New Territories."	""	""	
"6/6814/56(132)"	"Lai Cheong & Co."	"3rd Floor, Flat A2,"	"8 Lancashire Road,"	"Kowloon."	""	""	""	
"6/6814/56(1327)"	"Hong Shing Construction Co."	"15th Floor,"	"51 Tung Lo Wan Road,"	"Hong Kong."	""	""	""	
"6/6814/56(1331)"	"Yick Hing Construction Co."	"Unit 1204,"	"Rightful Centre,"	"11-12 Tak Hing Street,"	"Kowloon."	""	""	
"6/6814/56(1332)"	"Chun Yuen Loong Building Contractor"	"Ground Floor,"	"33 Luen On Street,"	"Kwun Tong,"	"Kowloon."	""	""	
"6/6814/56(1333)"	"Yau Choi Kee"	"3 Chung Shun Lane,"	"Tai Po Market,"	"New Territories."	""	""	""	
"6/6814/56(1335)"	"Tai Fung Engineering Co., Ltd."	"28th Floor,"	"4 Des Voeux Road Central,"	"Hong Kong."	""	""	""	
"6/6814/56(1346)"	"Kum Shing Construction Co."	"Ground Floor,"	"28 Tsun Fat Street,"	"To Kwa Wan,"	"Kowloon."	""	""	
"6/6814/56(1352)"	"Sang Sang Decoration & Construction Co."	"Room 1411, 14th Floor,"	"Ho King Commercial Centre,"	"2-16 Fa Yuen Street,"	"Mong Kok, Kowloon."	""	""	
"6/6814/56(1359)"	"Kin Lee Construction Co."	"9th Floor, Flat C,"	"108-110 Waterloo Road,"	"Kowloon."	""	""	""	
"6/6814/56(1360)"	"Soy Kee Construction Co."	"Room 1425,"	"Central Building,"	"Pedder Street,"	"Central, Hong Kong."	""	""	
"6/6814/56(1362)"	"Ever Green Construction & Decoration Co."	"Room 202,"	"Won Hing Building,"	"74-78 Stanley Street,"	"Hong Kong."	""	""	
"6/6814/56(1365)"	"Fook Luen Co., Ltd."	"Room 922,"	"Central Building,"	"Pedder Street,"	"Central, Hong Kong."	""	""	
"6/6814/56(1372)"	"Hung Cheong Building Contractor"	"Flat E, Basement,"	"234-236 Wan Chai Road,"	"Hong Kong."	""	""	""	
"6/6814/56(1373)"	"Chi Lee Building Construction Co."	"19th Floor,"	"Cheong Ip Building,"	"344 Hennessy Road,"	"Wan Chai, Hong Kong."	""	""	
"6/6814/56(1385)"	"Chan Lee Building Construction Co."	"Mezzanine Floor,"	"137 Lai Chi Kok Road,"	"Lai Chi Kok,"	"Kowloon."	""	""	
"6/6814/56(1386)"	"Tung Fat Construction Co."	"12th Floor,"	"454 Hennessy Road,"	"Wan Chai,"	"Hong Kong."	""	""	
"6/6814/56(1390)"	"Kent Construction Co."	"Unit B4, 18th Floor, Block B,"	"Kai Ley Industrial Centre,"	"12 Fung Yip Street,"	"Chai Wan, Hong Kong."	""	""	
"6/6814/56(1395)"	"Cheong Shing Building Construction Co."	"Flat D, 1st Floor, Block A,"	"On Shun Mansion,"	"31-51 Chik Shun Street,"	"Tai Wai, New Territories."	""	""	
"6/6814/56(1396)"	"Leung Pui Kee Building Contractors"	"Flat H, 12th Floor,"	"63 Tai Loong Street,"	"Shek Lei Pui,"	"New Territories."	""	""	
"6/6814/56(140)"	"To Chow Kee Kin Wah Construction Co."	"9th Floor,"	"Wing Yu Building,"	"695a Nathan Road,"	"Kowloon."	""	""	
"6/6814/56(1401)"	"Rigid Engineering Co., Ltd."	"Flat C, 7th Floor,"	"Mei Foo Sun Chuen,"	"81 Broadway,"	"Lai Chi Kok, Kowloon."	""	""	
"6/6814/56(1403)"	"David Yan & Co. Building Contractor"	"17th Floor, Block A,"	"Fung Yu Building,"	"182-190 Third Street,"	"Hong Kong."	""	""	
"6/6814/56(1405)"	"To Yuen Construction Co."	"Flat 8, 1st Floor,"	"Shing Wing House,"	"Yue Shing Court,"	"Sha Tin, New Territories."	""	""	
"6/6814/56(1411)"	"Yue Kwong Construction Co."	"1st Floor,"	"161 Ma Yau Tong Village,"	"Tseung Kwan O,"	"New Territories."	""	""	
"6/6814/56(1419)"	"Mee Lee Construction Co."	"5th Floor,"	"180 Wellington Street,"	"Central,"	"Hong Kong."	""	""	
"6/6814/56(1429)"	"Kiu Kwong Investment Corporation Ltd."	"8th Floor,"	"Chiao Shang Building,"	"92-104 Queen's Road Central,"	"Hong Kong."	""	""	
"6/6814/56(1435)"	"Kwe Hing Construction Co."	"2nd Floor,"	"64 Lok Shan Road,"	"Kowloon."	""	""	""	
"6/6814/56(1440)"	"Wah Yan Construction Co."	"Flat 6b,"	"297 Prince Edward Road,"	"Mong Kok,"	"Kowloon."	""	""	
"6/6814/56(1443)"	"Kiu Kwong Construction Co."	"Flat 4, 12th Floor,"	"612-618 Nathan Road,"	"Kowloon."	""	""	""	
"6/6814/56(1445)"	"Luen Hing Sam Lee Construction Co."	"Ground Floor,"	"6 Mcgregor Street,"	"Wan Chai,"	"Hong Kong."	""	""	
"6/6814/56(1452)"	"Yip Chen Contractors"	"Flat 24, 12th Floor,"	"Man Wai Building,"	"Ferry Street,"	"Kowloon."	""	""	
"6/6814/56(1461)"	"Winkey Construction Co."	"7th Floor, Flat A,"	"Ngan Tao Building,"	"8 Whitfield Road,"	"North Point, Hong Kong."	""	""	
"6/6814/56(1465)"	"Shing Lung Construction Co."	"2nd Floor,"	"78 Shan Tung Street,"	"Kowloon."	""	""	""	
"6/6814/56(1466)"	"Pak Kei Building Construction Co."	"3rd Floor,"	"398 Reclamation Street,"	"Mong Kok,"	"Kowloon."	""	""	
"6/6814/56(1467)"	"Chun Yip"	"Ground Floor,"	"242a Hai Tan Street,"	"Sham Shui Po,"	"Kowloon."	""	""	
"6/6814/56(1471)"	"Sui Chong Construction & Engineering Co., Ltd."	"15th Floor,"	"9 Des Voeux Road West,"	"Hong Kong."	""	""	""	
"6/6814/56(1472)"	"Yuen Yick Real Estate Co., Ltd."	"Suite 4808,"	"One Exchange Square,"	"Central,"	"Hong Kong."	""	""	
"6/6814/56(1473)"	"Lok Shing Enterprises Ltd."	"Ground Floor,"	"Lok Shun Seaview Factory Building,"	"6-28 Chai Wan Kok Street,"	"Tsuen Wan, New Territories."	""	""	
"6/6814/56(1494)"	"Tong Kee Construction Co."	"Ground Floor,"	"42 Tit Shu Street,"	"Tai Kok Tsui,"	"Kowloon."	""	""	
"6/6814/56(1497)"	"Chart Keung Building Contractors"	"Rooms 2301-2303,"	"Kwan Chart Tower,"	"6 Tonnochy Road,"	"Wan Chai, Hong Kong."	""	""	
"6/6814/56(1501)"	"Ng Wan Kee Construction Co."	"13th Floor,"	"229d Lai Chi Kok Road,"	"Lai Chi Kok,"	"Kowloon."	""	""	
"6/6814/56(151)"	"Tak Luen Construction Co., Ltd."	"8th Floor, Flat C,"	"Golden Jubilee Building,"	"393 Lockhart Road,"	"Wan Chai, Hong Kong."	""	""	
"6/6814/56(1514)"	"Oriental Construction Co."	"1st Floor, Flat C,"	"Shun King Building,"	"33-35 Ta Ku Ling Road,"	"Kowloon City, Kowloon."	""	""	
"6/6814/56(1515)"	"Kam Fat Construction Co."	"3rd Floor,"	"Hong Lok Mansion,"	"76 Argyle Street,"	"Mong Kok, Kowloon."	""	""	
"6/6814/56(1517)"	"Salon Building Construction Co."	"Flat A, 4th Floor,"	"Excelsior Building,"	"364 Nathan Road,"	"Kowloon."	""	""	
"6/6814/56(1521)"	"Lee Kwan Kee Building Construction Co."	"Flat D, 7th Floor,"	"Ka Wui Building,"	"7 Fuk Wing Street,"	"Sham Shui Po, Kowloon."	""	""	
"6/6814/56(1524)"	"Jackson Construction Co."	"Room 403, 4th Floor,"	"Lee Wai Commercial Building,"	"1-3 Hart Avenue,"	"Tsim Sha Tsui, Kowloon."	""	""	
"6/6814/56(1529)"	"Kwan Kee Construction & Transportation Co."	"Room 744,"	"Nam Fung Centre,"	"264-298 Castle Peak Road,"	"Tsuen Wan, Hong Kong."	""	""	
"6/6814/56(1540)"	"Yan Shuen Construction Co., Ltd."	"5th Floor, Flat G,"	"15 Ventris Road,"	"Happy Valley,"	"Hong Kong."	""	""	
"6/6814/56(1543)"	"Chiu Hing Construction Co."	"4th Floor, Blocks 1 & 2,"	"Kwong Fat Commercial Building,"	"582-588 Canton Road,"	"Kowloon."	""	""	
"6/6814/56(1545)"	"Yuen Cheong Building Construction Co."	"Unit 6, 10th Floor,"	"Fuk Hong Industrail Building,"	"60-62 Tong Mi Road,"	"Mong Kok, Kowloon."	""	""	
"6/6814/56(1547)"	"Handsome Construction Co."	"Room 1303c,"	"Model House,"	"King's Road,"	"North Point, Hong Kong."	""	""	
"6/6814/56(1552)"	"Wai Yip Building Construction Co."	"Room 501,"	"Yu Sung Boon Building,"	"107-111 Des Voeux Road Central,"	"Hong Kong."	""	""	
"6/6814/56(1553)"	"Chun Lee"	"Unit 8, 4th Floor,"	"Victoria Centre,"	"15 Watson Road,"	"Hong Kong."	""	""	
"6/6814/56(1554)"	"Shung Mei Building Construction Co."	"4th Floor, Rear Block,"	"333-b Lai Chi Kok Road,"	"Lai Chi Kok,"	"Kowloon."	""	""	
"6/6814/56(1555)"	"Jinson Construction Co."	"5th Floor, Block F,"	"6 King's Road,"	"North Point,"	"Hong Kong."	""	""	
"6/6814/56(1557)"	"New Land Investment Co., Ltd."	"4th & 5th Floors,"	"Devon House,"	"979 King's Road,"	"Quarry Bay, Hong Kong."	""	""	
"6/6814/56(1572)"	"Linda Construction Co."	"13th Floor,"	"Good Harvest Commercial Building,"	"515-517 Nathan Road,"	"Yau Ma Tei, Kowloon."	""	""	
"6/6814/56(1573)"	"Kwong Tung Construction Co."	"Room 1624,"	"Kai Fai House,"	"Choi Wan Estate,"	"Ngau Chi Wan, Kowloon."	""	""	
"6/6814/56(1576)"	"Hopewell Construction Co., Ltd."	"Rooms 5902-5907, 59th Floor,"	"Hopewell Centre,"	"183 Queen's Road East,"	"Wan Chai, Hong Kong."	""	""	
"6/6814/56(1577)"	"Wing Hing Construction Co."	"Block C, 5th Floor,"	"23 Nassau Street,"	"Mei Foo Sun Chuen,"	"Kowloon."	""	""	
"6/6814/56(1586)"	"Yan Hing Construction Co."	"Room 701,"	"Corn Yan Centre,"	"3 Jupiter Street,"	"North Point, Hong Kong."	""	""	
"6/6814/56(1592)"	"Ming Hing Construction Co."	"2nd Floor,"	"Man Cheong Building,"	"48 Man Wai Street,"	"Yau Ma Ti, Kowloon."	""	""	
"6/6814/56(1595)"	"Daniel & Co., Ltd."	"Room 1703,"	"Tai Sang Commercial Building,"	"24-34 Hennessy Road,"	"Wan Chai, Hong Kong."	""	""	
"6/6814/56(16)"	"Tai Lung Construction & Investment Co., Ltd."	"Flat D, 11th Floor,"	"Eton Building,"	"288 Des Voeux Road Central,"	"Hong Kong."	""	""	
"6/6814/56(1602)"	"Wing Yick Building Construction Co."	"Flat B, 3rd Floor,"	"99 Wuhu Street,"	"Hung Hom,"	"Kowloon."	""	""	
"6/6814/56(1606)"	"Wellcome Construction Co."	"Room 1910,"	"Good Hope Building,"	"612-618 Nathan Road,"	"Kowloon."	""	""	
"6/6814/56(1617)"	"Lo Too Kee Building Construction Co."	"3rd Floor,"	"69 Tam Kung Road,"	"To Kwa Wan,"	"Kowloon."	""	""	
"6/6814/56(1619)"	"Tai Yick Building Construction Co."	"8th Floor, Flat F,"	"249 Lockhart Road,"	"Wan Chai,"	"Hong Kong."	""	""	
"6/6814/56(1627)"	"Wan Yu & Co., Ltd."	"9th Floor, Flat C,"	"Luen Wai Commercial Building,"	"93 Des Voeux Road West,"	"Hong Kong."	""	""	
"6/6814/56(1629)"	"Yan Hing Mining Co., Ltd."	"17th Floor,"	"Central Building,"	"1 Pedder Street,"	"Hong Kong."	""	""	
"6/6814/56(1637)"	"Truly Construction Co."	"Rooms 801-802,"	"Prince Commercial Building,"	"150-152 Prince Edward Road,"	"Mong Kok, Kowloon."	""	""	
"6/6814/56(1638)"	"Gordan Construction Co."	"13th Floor, Flat B1,"	"Cambridge Court,"	"84 Waterloo Road,"	"Kowloon."	""	""	
